Name,imdb ID,site,IndRating,vote,avgRating,avgNorm,frNumVot,frRat,frNorm,frCritNumVot,frCritRat,frCritNorm,fr 5,fr 4,fr 3,fr 2,fr 1,fr 0,esNumVot,esRat,esNorm,esCritNumVot,esCritRat,esCritNorm,es 5,es 4,es 3,es 2,es 1,es 0,ptNumVot,ptRat,ptNorm,ptCritNumVot,ptCritRat,ptCritNorm,pt 5,pt 4,pt 3,pt 2,pt 1,pt 0,deNumVot,deRat,deNorm,deCritNumVot,deCritRat,deCritNorm,de 5,de 4,de 3,de 2,de 1,de 0,trNumVot,trRat,trNorm,trrCritNumVot,trCritRat,trCritNorm,tr 5,tr 4,tr 3,tr 2,tr 1,tr 0
The Wolf of Wall Street,tt0993846,imdb,10,13051,8.05,8.05,17678,4.1,8.50,2260,3.36,7.27,539,826,326,241,140,188,455,3.8,8.00,63,3.02,6.69,12,19,12,9,0,11,1686,4.5,9.17,174,3.87,8.11,77,47,20,14,12,4,716,4.4,9.00,84,3.65,7.76,29,27,11,7,7,3,168,3.9,8.17,48,3.63,7.71,16,16,8,1,4,3
The Wolf of Wall Street,tt0993847,imdb,9,15830,8.05,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993848,imdb,8,15793,8.05,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993849,imdb,7,8629,8.05,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993850,imdb,6,3632,8.05,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993851,imdb,5,1609,8.05,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993852,imdb,4,849,8.05,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993853,imdb,3,592,8.05,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993854,imdb,2,505,8.05,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993855,imdb,1,1205,8.05,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993856,douban,5,13080,3.79,7.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993857,douban,4,30813,3.79,7.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993858,douban,3,20160,3.79,7.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993859,douban,2,2764,3.79,7.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993860,douban,1,607,3.79,7.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993861,fr,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993862,fr,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993863,fr,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993864,fr,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993865,fr,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993866,fr,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993861,es,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993862,es,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993863,es,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993864,es,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993865,es,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993866,es,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993861,pt,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993862,pt,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993863,pt,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993864,pt,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993865,pt,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993866,pt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993861,de,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993862,de,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993863,de,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993864,de,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993865,de,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993866,de,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993861,tr,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993862,tr,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993863,tr,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993864,tr,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993865,tr,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,tt0993866,tr,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
