+1;2013;tt2395385;223482;4763;5.5;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;
10.000 noches en ninguna parte;2013;tt1680303;180382;121;7.2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
100 Degrees Below Zero;2013;tt2538128;221267;1223;2.4;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
100% cachemire;2013;tt2319018;203587;281;4.7;12;35;51;58;43;49;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11.6;2013;tt2655788;209859;1234;5.8;7;55;100;98;36;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12 ans d'âge;2013;tt2979414;214609;69;4.9;1;11;19;25;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12 Years a Slave;2013;tt2024544;196885;324128;8.1;363;621;262;120;54;38;1;13;3;3;0;1;61;42;15;4;1;2;8;22;6;4;1;2;8;12;7;1;0;0;
15 años y un día;2013;tt2368525;204610;497;5.9;0;1;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16 ans ou presque;2013;tt2947742;212754;299;5.1;18;31;72;47;31;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1982;2013;tt2388621;223613;65;8.1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2 automnes 3 hivers;2013;tt2871116;220994;278;6.6;19;27;15;8;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
2 Guns;2013;tt1272878;189472;132703;6.8;8;51;136;71;12;5;0;1;8;0;1;0;3;6;8;4;0;0;0;1;5;3;0;1;0;1;5;0;0;0;
20 ans d'écart;2013;tt2186812;209732;4372;6.4;90;407;371;122;36;19;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;
21 & Over;2013;tt1711425;194474;51897;5.9;2;6;10;11;4;6;0;0;0;0;0;0;5;7;8;1;2;1;0;0;3;2;1;0;0;1;2;2;0;0;
Devil's Knot;2013;tt0804463;203064;9305;6.0;2;2;11;10;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
3096 Tage;2013;tt1667355;182270;3750;6.3;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;
3x3D;2013;tt2693702;218367;222;5.8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Les 4 soldats;2013;tt3053378;194689;95;5.9;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
42;2013;tt0453562;135624;58040;7.5;9;16;23;2;0;0;0;0;0;0;0;0;5;4;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;
45 Minutes to Ramallah;2013;tt1562848;201776;126;5.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
47 Ronin;2013;tt1335975;141505;99349;6.3;34;112;166;114;67;19;0;4;6;1;0;1;16;23;27;13;7;1;1;3;6;7;1;3;4;8;10;7;4;1;
